An	Durata	Titlu	Categorie	Premii
1982	120	Creepshow	Horror	Nu
1975	120	Wind & the Lion, The	Action	Nu
1961	120	Goodbye Again	Drama	Nu
1988	120	Frantic	Mystery	Nu
1963	120	Ugly American, The	Drama	Nu
1986	120	Betty Blue	Drama	Nu
1956	120	Man Who Knew Too Much, The	Mystery	Nu
1940	120	Foreign Correspondent	Mystery	Nu
1986	120	Boy Who Could Fly, The	Drama	Nu
1989	120	Do the Right Thing	Drama	Nu
1986	120	Jean de Florette	Drama	Da
1957	120	Gunfight at the OK Corral	Western	Nu
1953	120	Julius Caesar	Drama	Nu
1979	120	Nineteen Forty-One	Comedy	Nu
1989	120	Triumph of the Spirit	Drama	Nu
1986	120	Comic Relief	Comedy	Nu
1986	120	Manhunter	Drama	Nu
1966	120	A Man for All Seasons	Drama	Da
1982	120	State of Things, The	Drama	Nu
1991	120	Awakenings	Drama	Nu
1990	120	Hot Spot	Drama	Nu
1988	120	Mississippi Burning	Drama	Da
1964	120	Tom Jones	Drama	Da
1986	120	Blue Velvet	Mystery	Nu
1987	120	Innerspace	Science Fiction	Nu
1988	120	Lonely Passion of Judith Hearne, The	Drama	Nu
1977	120	Prince & the Pauper, The	Action	Nu
1933	120	Testament of Dr. Mabuse, The	Drama	Nu
1987	120	Good Morning, Vietnam	Comedy	Nu
1986	120	Platoon	Drama	Da
1953	120	Tales of Tomorrow	Horror	Nu
1979	121	Ten	Comedy	Nu
1990	121	Rookie, THe	Action	Nu
1977	121	Star Wars	Science Fiction	Nu
1956	121	Rainmaker, The	Drama	Nu
1989	121	Enemies, a Love Story	Drama	Nu
1992	121	Postman Always Rings Twice, The	Mystery	Nu
1985	121	Ladyhawke	Adventure	Nu
1992	121	Drowning by Numbers	Mystery	Nu
1968	121	Hellfighters	Action	Nu
1988	121	Accidental Tourist, The	Comedy	Da
1992	121	Christopher Columbus: The Discovery	Adventure	Nu
1971	121	Red Tent, The	Action	Nu
1974	121	Apprenticeship of Duddy Kravitz, The	Drama	Da
1992	121	Harper	Mystery	Nu
1991	121	Pink Panther, The	Comedy	Nu
1979	122	Cuba	Action	Nu
1973	122	Exorcist, The	Horror	Da
1965	122	Darling	Drama	Da
1979	122	Hair	Music	Nu
1979	122	China Syndrome, The	Drama	Nu
1986	122	Salvador	Drama	Nu
1951	122	A Streetcar Named Desire	Drama	Da
1989	122	Pink Cadillac	Comedy	Nu
1989	122	Quo Vadis	Drama	Nu
1982	122	Missing	Drama	Nu
1988	122	A Cry in the Dark	Drama	Nu
1960	122	North to Alaska	Western	Nu
1973	122	Magnum Force	Action	Nu
1990	123	Misery	Horror	Da
1942	123	Reap the Wild Wind	Drama	Nu
1982	123	Honkytonk Man	Drama	Nu
1965	123	Morituri	Drama	Nu
1977	123	Slap Shot	Comedy	Nu
1970	123	Molly Maguires, The	Action	Nu
1960	123	Unforgiven, The	Drama	Nu
1962	123	Man Who Shot Liberty Valance, The	Western	Nu
1962	123	Experiment in Terror	Mystery	Nu
1983	123	Bad Boys	Drama	Nu
1992	123	Basic Instinct	Mystery	Nu
1954	123	Dial M for Murder	Mystery	Nu
1966	123	Closely Watched Trains	Drama	Da
1980	123	Mon Oncle D'Amerique	Comedy	Nu
1969	123	Midnight Cowboy	Drama	Da
1924	123	Gosta Berling's Saga	Drama	Nu
1980	124	Elephant Man, The	Drama	Da
1972	124	Life & Times of Judge Roy Bean, The	Western	Nu
1974	124	Dersu Uzala, (The Hunter)	Adventure	Da
1980	124	Empire Strikes Back, The	Science Fiction	Nu
1975	124	Jaws	Action	Nu
1977	124	Bobby Deerfield	Drama	Nu
1974	124	Amarcord	Drama	Da
1956	124	Teahouse of the August Moon	Drama	Nu
1991	124	Russia House, The	Drama	Nu
1985	124	Plenty	Drama	Nu
1981	124	Chariots of Fire	Drama	Da
1966	125	Torn Curtain	Mystery	Nu
1992	125	Final Analysis	Drama	Nu
1989	125	Black Rain	Action	Nu
1990	125	Wild at Heart	Drama	Nu
1925	125	Joyless Street	Drama	Nu
1969	125	Those Daring Young Men in Their Jaunty	Comedy	Nu
1986	125	Mission, The	Drama	Nu
1931	125	Cimarron	Western	Da
1982	125	An Officer & a Gentleman	Drama	Da
1991	125	Last Hurrah, The	Drama	Nu
1926	126	Don Juan	Action	Nu
1989	126	Batman	Action	Nu
1970	126	Getting Straight	Comedy	Nu
1945	126	Bells of St. Mary's, The	Drama	Nu
1990	126	Bonfire of the Vanities, The	Drama	Nu
1987	126	Wall Street	Drama	Da
1978	126	International Velvet	Drama	Nu
1966	126	Fortune Cookie, The	Comedy	Da
1969	126	Topaz	Mystery	Nu
1990	126	Indiana Jones & the Last Crusade	Action	Nu
1988	127	Colors	Drama	Nu
1990	127	Presumed Innocent	Mystery	Nu
1989	127	Fat Man & Little Boy	Drama	Nu
1974	127	Man with the Golden Gun, The	Action	Nu
1940	127	Northwest Passage	Action	Nu
1977	127	American Friend, The	Mystery	Nu
1988	127	Everybody's All American	Romance	Nu
1973	127	Man Who Loved Cat Dancing, The	Western	Nu
1990	127	Ghost	Science Fiction	Da
1969	127	Z	Drama	Da
1966	127	Russians Are Coming, the Russians Are, The	Comedy	Da
1973	127	Last Tango in Paris	Drama	Nu
1981	127	French Lieutenant's Woman, The	Drama	Nu
1948	127	Fort Apache	Western	Nu
1967	127	Cool Hand Luke	Drama	Da
1981	127	Taming of the Shrew, The	Drama	Nu
1974	128	Murder on the Orient Express	Mystery	Da
1982	128	Conan the Barbarian	Action	Nu
1979	128	Moonraker	Action	Nu
1969	128	True Grit	Western	Da
1992	128	Cape Fear	Mystery	Nu
1985	128	Christopher Columbus	Drama	Nu
1972	128	Cabaret	Drama	Da
1958	128	Vertigo	Drama	Nu
1976	128	Shout at the Devil	Action	Nu
1992	128	Night on Earth	Drama	Nu
1982	128	Ballad of Narayama, The	Drama	Nu
1965	128	Shop on Main Street, The	Drama	Da
1986	128	Name of the Rose, The	Drama	Nu
1972	128	Cowboys, The	Western	Nu
1990	128	Dead Poets Society	Drama	Da
1991	128	Inherit the Wind	Drama	Nu
1981	129	For Your Eyes Only	Action	Nu
1973	129	Sting, The	Drama	Da
1972	129	Roma	Drama	Nu
1980	129	Competition, The	Drama	Nu
1970	129	Women in Love.	Drama	Nu
1956	129	Bad Seed, The	Horror	Nu
1979	129	Being There	Comedy	Da
1929	129	Manxman, The	Drama	Nu
1970	129	On a Clear Day You Can See Forever	Music	Nu
1975	129	Man Who Would Be King, The	Drama	Nu
1990	129	Mo' Better Blues	Drama	Nu
1967	130	Casino Royale	Comedy	Nu
1987	130	Wings of Desire	Drama	Nu
1940	130	Rebecca	Drama	Da
1964	130	Marnie	Drama	Nu
1970	130	Fellini Satyricon	Drama	Nu
1991	130	Man of La Mancha	Music	Nu
1986	130	El Guerrero Solitario	Drama	Nu
1986	130	Heartbreak Ridge	War	Nu
1987	130	Matewan	Drama	Nu
1975	130	Eiger Sanction, The	Action	Nu
1992	130	Who's Afraid of Virginia Woolf?	Drama	Da
1985	130	Prizzi's Honor	Comedy	Da
1984	130	Bounty, The	Drama	Nu
1928	130	Spies	Drama	Nu
1991	130	For a Few Dollars More	Westerns	Nu
1974	131	Chinatown	Drama	Da
1990	131	A View to a Kill	Action	Nu
1983	131	Silkwood	Drama	Nu
1985	131	Falcon & the Snowman, The	Drama	Nu
1983	132	Return of the Jedi	Science Fiction	Nu
1964	132	Circus World	Drama	Nu
1991	132	Sea of Grass, The	Western	Nu
1981	132	Mephisto	Drama	Da
1978	132	Wild Geese, The	Action	Nu
1986	132	Alrededor de Medianoche	Drama	Nu
1983	132	Terms of Endearment	Drama	Da
1976	132	Midway	War	Nu
1965	133	Hush, Hush, Sweet Charlotte	Mystery	Nu
1992	133	Shining Through	Mystery	Nu
1968	133	Green Berets, The	War	Nu
1992	133	Train, The	Action	Nu
1962	134	A Very Private Affair	Drama	Nu
1983	134	Never Say Never Again	Action	Nu
1977	134	Voyage of the Damned	Drama	Nu
1961	134	Hustler, The	Drama	Da
1988	134	Rain Man	Drama	Da
1968	134	Lion in Winter, THe	Drama	Da
1983	134	Yentl	Music	Nu
1987	134	Glass Menagerie, The	Drama	Nu
1952	134	Ikiru	Drama	Nu
1992	134	Red River	Western	Nu
1990	135	Cyrano de Bergerac	Drama	Nu
1992	135	City of Joy	Drama	Nu
1981	135	Choice of Arms	Action	Nu
1980	135	Last Metro, The	Drama	Nu
1985	135	Death of a Salesman	Drama	Nu
1969	135	On Her Majesty's Secret Service	Action	Nu
1991	135	Doors, The	Drama	Nu
1991	135	North by Northwest	Mystery	Nu
1987	135	Ironweed	Drama	Nu
1960	135	Fugitive Kind, The	Drama	Nu
1945	135	They Were Expendable	War	Nu
1990	135	Hunt for Red October, The	Drama	Nu
1977	136	Spy Who Loved Me, The	Action	Nu
1991	136	Terminator 2	Action	Nu
1982	136	World According to Garp, The	Drama	Nu
1977	136	Looking for Mr. Goodbar	Drama	Nu
1982	136	Firefox	Action	Nu
1982	136	Danton	Drama	Nu
1992	136	Prize, The	Drama	Nu
1970	137	Airport	Drama	Da
1971	137	Boy Friend, THe	Music	Nu
1977	137	New York, New York	Drama	Nu
1992	137	Long Gray Line, The	Drama	Nu
1986	137	Aliens	Science Fiction	Nu
1920	137	Spiders	Drama	Nu
1950	138	All about Eve	Drama	Da
1992	138	Fisher King, The	Drama	Da
1988	138	Pelle the Conqueror	Drama	Da
1971	138	A Clockwork Orange	Science Fiction	Da
1928	139	Wings	War	Da
1987	139	Maurice	Drama	Nu
1968	139	2001: A Space Odyssey	Science Fiction	Nu
1992	139	Sheltering Sky, The	Drama	Nu
1926	139	Metropolis	Science Fiction	Nu
1944	139	Thirty Seconds over Tokyo	War	Nu
1976	139	All the President's Men	Drama	Da
1984	140	Tartuffe	Comedy	Nu
1961	140	La Dolce Vita	Drama	Nu
1970	140	Dodesukaden	Drama	Nu
1986	140	Assault, The	Drama	Da
1988	141	Thunderball	Action	Nu
1986	141	Courage	Drama	Nu
1961	141	One Eyed Jacks	Western	Nu
1984	141	Killing Fields, The	Drama	Da
1991	142	Hook	Action	Nu
1977	143	Black Sunday	Drama	Nu
1974	144	Day of the Locust, The	Drama	Nu
1980	144	Shining, The	Horror	Nu
1991	144	Robin Hood: Prince of Thieves	Action	Nu
1991	144	State of Grace	Drama	Nu
1969	144	Wild Bunch, The	Western	Nu
1991	145	Dragon Seed	Drama	Nu
1989	145	Born on the Fourth of July	Drama	Da
1978	145	Superman, The Movie	Action	Nu
1991	145	Sophia Loren, Her Own Story	Drama	Nu
1977	146	Twilight's Last Gleaming	Drama	Nu
1970	146	Kelly's Heroes	War	Nu
1957	147	Sayonara	Drama	Da
1928	148	Tempest	Drama	Nu
1990	149	Camille Claudel	Drama	Nu
1976	150	Lindbergh Kidnapping Case, The	Drama	Nu
1984	150	Paris, Texas	Drama	Nu
1962	150	Lolita	Drama	Nu
1955	150	Guys & Dolls	Comedy	Da
1989	150	Sara Dane	Drama	Nu
1982	150	A Question of Honor	Drama	Nu
1982	151	Sophie's Choice	Drama	Da
1968	151	Funny Girl	Music	Da
1960	152	Bad Sleep Well, The	Drama	Nu
1957	153	Desk Set	Comedy	Nu
1992	153	Quiet Man, The	Drama	Nu
1987	153	Empire of the Sun	Drama	Nu
1961	153	West Side Story	Music	Da
1979	153	Apocalypse Now	Drama	Nu
1961	154	Four Horsemen of the Apocalypse, The	Drama	Nu
1987	155	Indigo Autumn & Lilac Dream	Drama	Nu
1984	158	Amadeus	Drama	Da
1991	158	Until the End of the World	Drama	Nu
1968	159	Where Eagles Dare	War	Nu
1991	160	Great Race, The	Comedy	Nu
1985	161	Out of Africa	Drama	Da
1988	161	Bird	Drama	Nu
1980	161	Kagemusha	Drama	Da
1969	161	Paint Your Wagon	Music	Nu
1988	163	Last Temptation of Christ, The	Drama	Nu
1992	163	Good, the Bad & the Ugly, The	Westerns	Nu
1987	164	Last Emperor, The	Drama	Da
1960	164	Alamo, The	Action	Nu
1992	165	How the West Was Won	Western	Nu
1965	165	In Harm's Way	War	Nu
1951	166	Idiot, The	Drama	Nu
1992	166	Hallelujah Trail, The	Drama	Nu
1958	167	Young Lions, The	Drama	Nu
1964	170	My Fair Lady	Music	Da
1970	170	Patton	War	Da
1965	172	Sound of Music, The	Music	Da
1988	172	Unbearable Lightness of Being, The	Drama	Da
1961	172	El Cid	Drama	Nu
1957	173	Raintree County	Drama	Nu
1966	175	Is Paris Burning?	War	Nu
1972	175	Godfather, The	Drama	Da
1976	176	Kings of the Road (In the Course of Time)	Drama	Nu
1979	180	Last Ride of the Dalton Gang, The	Western	Nu
1990	181	Dances with Wolves	Western	Da
1962	182	Mutiny on the Bounty	Action	Nu
1978	183	Deer Hunter, The	Drama	Da
1962	183	Longest Day, The	War	Nu
1960	185	Spartacus	Drama	Da
1991	186	At Play in the Fields of the Lord	Drama	Nu
1982	188	Fanny and Alexander	Drama	Da
1982	188	Gandhi	Drama	Da
1964	188	Fall of the Roman Empire, The	Drama	Nu
1966	190	Hawaii	Drama	Nu
1961	190	Judgment at Nuremberg	Drama	Da
1991	193	Separate but Equal	Drama	Nu
1970	194	Ryan's Daughter	Drama	Da
1982	195	A Woman Called Golda	Drama	Da
1981	195	Reds	Drama	Da
1979	198	Sacketts, The	Western	Nu
1965	199	Greatest Story Ever Told, The	Drama	Nu
1955	200	Seven Samurai	Drama	Nu
1974	201	Godfather, Pt 2., The	Drama	Da
1956	201	Giant	Drama	Da
1991	206	JFK	Drama	Nu
1982	208	Othello	Drama	Nu
1932	210	Hurricane Express, The	Action	Nu
1992	213	Exodus	Drama	Nu
1986	221	On Wings of Eagles	Drama	Nu
1932	226	Shadow of the Eagle, The	Action	Nu
1935	234	Adventures of Rex & Rinty, The	Western	Nu
1991	240	Four American Composers	Music	Nu
1963	243	Cleopatra	Drama	Nu
1942	253	Gangbusters	Drama	Nu
1977	255	Nineteen Hundred	Drama	Nu
1943	265	Adventures of Smilin' Jack, The	Mystery	Nu
1992	286	Tommy	Music	Nu
1938	298	Flaming Frontiers	Western	Nu
1974	313	QB VII	Drama	Da
1988	360	Little Dorrit	Drama	Nu
1968	360	War & Peace	Drama	Da
1978	450	Holocaust	Drama	Nu
