An	Durata	Titlu	Categorie	Premii
1948	89	Return of October	Comedy	Nu
1986	89	Water	Comedy	Nu
1990	89	A Chorus of Disapproval	Comedy	Nu
1988	89	Cheerleader Camp	Horror	Nu
1986	89	Legend	Science Fiction	Nu
1988	89	Phantom of the Ritz	Horror	Nu
1974	89	Little Prince, The	Music	Nu
1991	89	Green Glove	Drama	Nu
1970	89	Menace on the Mountain	Action	Nu
1963	89	Crawling Hand, The	Science Fiction	Nu
1960	90	Devil's Eye, The	Drama	Nu
1992	90	Germicide	Drama	Nu
1991	90	Henry, Portrait of a Serial Killer	Horror	Nu
1988	90	Dr Alien	Science Fiction	Nu
1959	90	Voulez-Vous Danser Avec Moi?	Comedy	Nu
1958	90	Bride Is Much Too Beautiful, The	Comedy	Nu
1955	90	Doctor at Sea	Comedy	Nu
1957	90	And God Created Woman	Drama	Nu
1972	90	Scarlet Letter, The	Drama	Nu
1940	90	June Night	Drama	Nu
1935	90	Swedenhielms	Drama	Nu
1990	90	Twenty Four Hours in a Woman's Life	Drama	Nu
1988	90	Golden Ninja Invasion	Action	Nu
1989	90	Vampire Raiders, Ninja Queen	Action	Nu
1989	90	Never on Tuesday	Drama	Nu
1989	90	Puppet Master	Science Fiction	Nu
1980	90	Fifth Floor, The	Mystery	Nu
1992	90	Beauty & the Beast	Science Fiction	Nu
1967	90	Elvira Madigan	Drama	Nu
1985	90	Fantasy Man	Comedy	Nu
1992	90	Diary of a Hitman	Drama	Nu
1928	90	Woman of Affairs	Drama	Nu
1984	90	Johnny Dangerously	Comedy	Nu
1986	90	Knights & Emeralds	Drama	Nu
1986	90	Running Mates	Drama	Nu
1989	90	New Year's Day	Comedy	Nu
1983	90	Blame It on Rio	Comedy	Nu
1987	90	Superman IV: The Quest for Peace	Action	Nu
1970	90	Quackser Fortune Has a Cousin in the Bronx	Comedy	Nu
1987	90	Dragonard	Drama	Nu
1986	90	Hard Choices	Drama	Nu
1987	90	Ninja Masters of Death	Action	Nu
1974	90	Second Coming of Suzanne., The	Drama	Nu
1988	90	Big Top Pee-wee	Comedy	Nu
1968	90	Producers, The	Comedy	Nu
1990	90	Red Sonja	Action	Nu
1952	90	Big Jim McLain	Western	Nu
1988	90	Going for the Gold	Action	Nu
1988	90	Naked Gun: From the Files of Police Squad!, THe	Comedy	Nu
1988	90	Police Academy 5: Assignment Miami Beach	Comedy	Nu
1984	90	Ransom	Drama	Nu
1987	90	PK. & the Kid.	Drama	Nu
1976	90	Black & White in Color	Comedy	Da
1971	90	Garden of the Finzi-Continis, The	Drama	Da
1991	90	Basil The Rat	Comedy	Nu
1979	90	Fawlty Towers, Gourmet Night, Waldorf Salad & The Kipper & the Corpse	Comedy	Nu
1986	90	Head Office	Comedy	Nu
1976	90	Rocky	Drama	Da
1986	90	French Lesson	Comedy	Nu
1943	90	Lassie Come Home	Drama	Nu
1983	90	Man with Two Brains, The	Comedy	Nu
1988	90	Cannibal Women in the Avocado Jungle of Death	Comedy	Nu
1975	90	Wild Party, The	Drama	Nu
1989	90	Savage Intruder, The	Horror	Nu
1970	90	Bloody Mama	Action	Nu
1977	90	Tentacles	Horror	Nu
1949	90	Lust for Gold	Drama	Nu
1983	90	Le Dernier Combat	Drama	Nu
1984	90	Inside Man, The	Action	Nu
1989	90	American Autobahn	Drama	Nu
1990	90	Big Bad John	Action	Nu
1987	90	Empire of Spiritual Ninja	Action	Nu
1986	90	Ninja, the Violent Sorcerer	Action	Nu
1954	90	Human Desire	Drama	Nu
1978	90	Eraserhead	Horror	Nu
1940	90	In Old California	Western	Nu
1987	90	Eddie Murphy Raw	Comedy	Nu
1987	90	Good Father, The	Drama	Nu
1988	90	Dark Age	Action	Nu
1993	90	Duel	Mystery	Nu
1989	90	Van, The	Comedy	Nu
1989	90	Branford Marsalis, Steep	Music	Nu
1989	90	Beartooth	Action	Nu
1979	90	James Taylor in Concert	Music	Nu
1957	91	Wild Strawberries	Drama	Da
1962	91	Through a Glass Darkly	Drama	Da
1972	91	Cries & Whispers	Drama	Da
1959	91	Killers of Kilimanjaro	Action	Nu
1937	91	Intermezzo	Drama	Nu
1987	91	Programmed to Kill	Action	Nu
1991	91	Raw Nerve	Mystery	Nu
1987	91	Firehouse	Comedy	Nu
1987	91	Quick & The Dead, The	Western	Nu
1977	91	Rabid	Horror	Nu
1989	91	Penn & Teller Get Killed	Comedy	Nu
1980	91	It's My Turn	Comedy	Nu
1962	91	Road to Hong Kong	Comedy	Nu
1945	91	Flame of Barbary Coast	Western	Nu
1931	91	Mata Hari	Drama	Nu
1975	91	Adventures of Sherlock Holmes' Smarter	Comedy	Nu
